MANGA,AUTEUR,LIEN NAUTILJON,GENRE / TAGS,THEME,CIBLES,NOMBRE TOTAL DE TOMES,BIBLIOTHEQUE,PRIX TOME,SITUATION COLLECTION,TOTAL COLLECTION,,,
KAIJIN REIJOH,Tetsuya Tashiro,KAIJIN REIJOH,"Action, Fantastique, Horreur",Assassinat - Crime,Shonen,14,14,"7,65",EN COURS ,"107,1",,,
KAIJU N°8,Naoya Matsumoto,KAIJU N°8,"Action, SF, Horreur, Comédie",Combats - Militaire - Monstres,Shonen,16,16,"6,9",FINI,"110,4",,,
KEMONO INCIDENTS,Aimoto Sho,KEMONO INCIDENTS,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,21,13,"7,3",EN COURS ,"94,9",,,
KINDERGARTEN WARS, Chiba You,KINDERGARTEN WARS,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,15,15,"7,9",EN COURS ,"118,5",,,
LES CHRONIQUES D'AZFAREO,Shiki Shitose,LES CHRONIQUES D'AZFAREO,"Drame, Fantasy , Romance",Dragons,Shojo,9,0,"6,99",VENDU,0,,,
LES LEGENDAIRES Saga,Patrick Sobral & Guillaume Lapeyre,LES LEGENDAIRES Saga,"Action, Aventure, Comédie",Magie - Malédiction - Super-héros,Shonen,7,1,"7,99",ABANDONNER ,"7,99",,,
LEVIATHAN,Kuroi Shiro,LEVIATHAN,,,Seinen,3,1,"9,95",EN COURS ,"9,95",,,
MAGI - THE LABYRINTH OF MAGIC,Shinobu Ohtaka,MAGI - THE LABYRINTH OF MAGIC,"Action, Aventure, Comédie",Guerre - Magie - Monstres,Shonen,37,37,"6,8",FINI,"251,6",,,
MAGUS OF THE LIBRARY,Mitsu Izumi,MAGUS OF THE LIBRARY,"Aventure, Fantasy ",Littérature,Seinen,9,9,"7,9",EN COURS ,"71,1",,,
MARIMASHITA ! IRUMA-KUN !, Nishi Osamu,MARIMASHITA ! IRUMA-KUN !,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,34,34,"7,2",EN COURS ,"244,8",,,
MASHLE,Halime Komoto,MASHLE,"Action, Comédie, Fantastique ","Magie, Art martiaux",Shonen,18,18,"6,9",FINI,"124,2",,,
MIRAI NIKKI - LE JOURNAL DU FUTUR,Sakae Esuno,MIRAI NIKKI - LE JOURNAL DU FUTUR,"Action, Fantastique, Horreur ","Battle Royal, Psycho",Shonen,12,4,"7,95",PAUSE,"31,8",,,
MIRAI NIKKI – MOSAIC,Sakae Esuno,MIRAI NIKKI – MOSAIC,"Action, Fantastique, Horreur ","Battle Royal, Psycho",Shonen,1,1,"7,95",FINI,"7,95",,,
MIRAI NIKKI – PARADOX,Sakae Esuno,MIRAI NIKKI – PARADOX,"Action, Fantastique, Horreur ","Battle Royal, Psycho",Shonen,1,1,"7,95",FINI,"7,95",,,
MISSION IN THE APOCALYPSE,Iwamune Haruo,MISSION IN THE APOCALYPSE,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,4,4,"8,5",EN COURS,34,,,
MONSTER HUNTER ORAGE,Hiro Mashima,MONSTER HUNTER ORAGE,"Action, Aventure, Fantastique ",Monster Hunter,Shonen,4,4,"6,9",FINI,"27,6",,,
MONSTER MUSUME - EVERYDAY LIFE WITH MONSTER GIRLS,Okayado,MONSTER MUSUME - EVERYDAY LIFE WITH MONSTER GIRLS,"Comédie, Ecchi, Fantastique ","Monster Girls, Harem",Echi,15,9,"7,99",EN COURS ,"71,91",,,
MUSHOKU TENSEI,Fujikawa Yuka & Rifujin na Magonote,MUSHOKU TENSEI,"Action, Ecchi, Fantasy ","Isekkai, Harem, Magie",Shonen,23,23,"7,5",EN COURS ,"172,5",,,
MUSHOKU TENSEI – L'épée d'Iris ,Higake Take & Rifujin na Magonote,MUSHOKU TENSEI – L'épée d'Iris ,,,Shonen,1,1,"7,5",FINI,"7,5",,,
MUSHOKU TENSEI – Les aventures de Roxy,Shöko Iwami & Rifujin na Magonote,MUSHOKU TENSEI – Les aventures de Roxy,"Action, Ecchi, Fantasy ","Isekkai, Harem, Magie",Shonen,9,1,"7,5",PAUSE,"7,5",,,
MY ELDER SISTER,Iida Pochi,MY ELDER SISTER,"Comédie, Ecchi, Slice of life ","Démons, Erotique",Echi,6,6,"6,95",EN COURS ,"41,7",,,
MY HERO ACADEMIA,Kohei Horikoshi,MY HERO ACADEMIA,"Action, Comédie, School Life ","Combat, Super héro, super pouvoir",Shonen,42,42,"6,6",FINI,"277,2",,,
MY HERO ACADEMIA - Smash,Kohei Horikoshi & Neda Hirofumi,MY HERO ACADEMIA - Smash,"Comédie, Slice of life",Satyre,Shonen,2,1,"6,9",ABANDONNER ,"6,9",,,
MY HERO ACADEMIA – ULTRA ARCHIVE,Kohei Horikoshi,MY HERO ACADEMIA – ULTRA ARCHIVE,Guide,,Shonen,1,1,"6,9",FINI,"6,9",,,
NARUTO,Masahi Kishimoto,NARUTO,"Action, Aventure, Comédie, Nekketsu",Amitié - Arts martiaux - Ninjas - Combats - Guerre ,Shonen,72,1,"6,95",ABANDONNER ,"6,95",,,
NEON GENESIS EVANGELION ,Sadamoto Yoshiyuki & Anno Hideaki,NEON GENESIS EVANGELION ,Action - Drame - Mystère - Psychologique - Science-fiction - Tragique,Mechas - Militaire - Post-apocalyptique,Seinen,7,7,15,FINI,105,,,
NIER AUTOMATA - OP PEARL HARBOR,Yoko Taro & Soramichi Megumu,NIER AUTOMATA - OP PEARL HARBOR,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,4,4,8,EN COURS ,32,,,
NOZOKIANA,Wakoh Honna,NOZOKIANA,"Comédie, Drame, Ecchi ","Adultère, Sexe",Echi,13,11,"7,95",FINI,"87,45",,,
ONE PUCH MAN,ONE & YUSUKE MURATA,ONE PUCH MAN,"Action, Comédie, SF, Surnaturel",Aliens - Arts martiaux - Parodie - Combats - Cyborgs - Monstres  - Super-héros - Super pouvoirs,Shonen,24,1,"6,8",ABANDONNER ,"6,8",,,
ORIANT - SAMURAI QUEST,Ohtaka Shinobu,ORIANT - SAMURAI QUEST,,,Shonen,19,7,"7,2",EN COURS ,"50,4",,,
OSHI NO KO,Aka Akasaka,OSHI NO KO,"Drame, Psychologie, Slice of Life ","Cinéma, Idols, Réincarnation",Seinen,16,16,"7,65",FINI,"122,4",,,
PANDORA HEART,Jun Mochizuki,PANDORA HEART,"Action, Drame, Fantasy ","Crime, Magie, Alice",Shonen,24,24,"7,65",FINI,"183,6",,,
"PANDORA HEART – 8,5",Jun Mochizuki,"PANDORA HEART – 8,5",Guide,,Shonen,1,1,"7,65",FINI,"7,65",,,
POKEMON - LA GRANDE AVENTURE,Hidenori Kusaka & Mato,POKEMON - LA GRANDE AVENTURE,"Action, Aventure, Comédie",Animaux - Nature,Shonen,6,6,"7,6",FINI,"45,6",,,
POKEMON – ZOROARK LE MAITRE DES ILLUSION,Momota Inoue,POKEMON – ZOROARK LE MAITRE DES ILLUSION,"Aventure, Fantastique",Animaux - Nature,Shonen,1,1,"6,9",FINI,"6,9",,,
PROPHECY – THE COPYCAT,Testsuya Tsutsui & Fumio Obata,PROPHECY – THE COPYCAT,"Drame, Mature, Mystère, Psychologie",,Shonen,3,1,"7,9",ABANDONNER ,"7,9",,,
RADIANT,Tony Valent,RADIANT,"Action, Aventure, Fantastique ","Magie, Combat",Shonen,18,15,"7,9",EN COURS ,"118,5",,,
RAGNA CRIMSON,Daiki Kobayashi,RAGNA CRIMSON,"Action, Drame, Fantasy","Dragons, Voyage Temporel",Shonen,16,16,"7,95",EN COURS ,"127,2",,,
RED EYES SWORD Akame Ga Kill,Takahiro & Tetsuya Tashiro,RED EYES SWORD Akame Ga Kill,"Action, Aventure, Drame, Horreur",Assassinat - Combats - Gore - Organisations secrètes - Politique,Shonen,15,15,"7,65",FINI,"114,75",,,
RED EYES SWORD Akame Ga Kill – ZERO,Takahiro & Kei Toru,RED EYES SWORD Akame Ga Kill – ZERO,"Action, Aventure, Drame, Horreur",Assassinat - Combats - Gore - Organisations secrètes - Politique,Shonen,10,10,"7,65",FINI,"76,5",,,
RELIFE,Yayoiso,RELIFE,,,Seinen,15,4,10,EN COURS ,40,,,
REMEMBER,Welzard & Katsutoshi Murase,REMEMBER,"Horreur, School Life, Thriller ","Fantôme, Malédiction",Seinen,17,0,"7,65",VENDU,0,,,
RURIDRAGON,Shindo Masaoki,RURIDRAGON,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,4,4,"7,2",EN COURS ,"28,8",,,
SAGA OF TANY THE EVIL: YOUJO SENKI,Carlo Zen & Tojo Chika,SAGA OF TANY THE EVIL: YOUJO SENKI,,,Seinen,22,22,"8,5",EN COURS ,187,,,
SAINT SEIYA - THE LOST CANVAS ,Teshirogi Shiori,SAINT SEIYA - THE LOST CANVAS ,,"Isekkai, Gender bender, Jeux Video",Shonen,25,25,"7,3",FINI,"182,5",,,
SAINT SEIYA - THE LOST CANVAS - CHRONICLES,Masami Kurumada & Shiori Teshirogi,SAINT SEIYA - THE LOST CANVAS - CHRONICLES,"Action, Fantastique",Arts martiaux - Combats - Dieux / Déesses - Mythologie,Shonen,16,16,"6,8",FINI,"108,8",,,
SAOTOME LOVE & BOXING,Naoki Mizuguchi,SAOTOME LOVE & BOXING,"Comédie, Romance, School Life ","Amour, Sport, Boxe, Tomboy",Shonen,8,0,"7,5",VENDU,0,,,
SERVAMP,Tanaka Strike,SERVAMP,"Action, Comédie, Surnaturel ","Combats, Vampire",Shonen,22,18,"7,5",EN COURS ,135,,,
SHAMAN KING,Kiroyuki Takei,SHAMAN KING,"Aventure, Nekketsu, Fantastique ",Shaman,Shonen,32,1,"6,9",ABANDONNER ,"6,9",,,
SMOKING BEHIND THE SUPERMARKET,Jinushi,SMOKING BEHIND THE SUPERMARKET,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,6,6,"7,9",EN COURS ,"47,4",,,
SOLO LEVELING,Dubu & Chugong,SOLO LEVELING,"Action, Fantasy",Apprentissage - Combats - Magie - Super pouvoirs,Shonen,19,19,15,EN COURS ,285,,,
SOUL EATER,Ohkubo Atsushi ,SOUL EATER,"Action, Aventure ","Shinigami, école , folie",Shonen,25,2,"6,6",ABANDONNER ,"13,2",,,
SOUL EATER - EDITION DOUBLE ,Ohkubo Atsushi ,SOUL EATER - EDITION DOUBLE ,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,12,12,10,FINI,120,,,
SPY X FAMILY ,Endo Tatsuya ,SPY X FAMILY ,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,14,10,"7,3",EN COURS ,73,,,
TALENTLESS,Furuya Iori & Looseboy,TALENTLESS,"Drame, Psychologie, School Life ","Crime, Super pouvoir",Shonen,14,14,"7,5",EN COURS ,105,,,
TERRAFORMARS,Yu Sasuga & Ken-Ichi Tachibana,TERRAFORMARS,"Action, Horreur, SF, Tragique",Espace - Gore - Guerre - Post-apocalyptique - Scientifique,Seinen,22,2,"8,29",ABANDONNER ,"16,58",,,
THE ANCIENT MAGUS BRIDE,Koré Yamakazi,THE ANCIENT MAGUS BRIDE,"Aventure, Drame, Fantastique ","Magie, Dragon, Sorcière",Shonen,23,23,"7,99",EN COURS ,"183,77",,,
THE ANCIENT MAGUS BRIDE – Le bleu du magicien,Makoto Sanda & Isuo Tsukumo,THE ANCIENT MAGUS BRIDE – Le bleu du magicien,"Aventure, Drame, Fantastique ","Magie, Dragon, Sorcière",Shonen,10,10,"7,99",FINI,"79,9",,,
THE ANCIENT MAGUS BRIDE – Supplément 2,Koré Yamakazi,THE ANCIENT MAGUS BRIDE – Supplément 2,Guide,,Shonen,1,1,"7,5",FINI,"7,5",,,
THE PROMISED NEVERLAND,Kaiu Shirai & Posuka Demizu,THE PROMISED NEVERLAND,"Aventure, Drama, Horreur, Mystere",Famille - Monstres,Seinen,20,20,"6,9",FINI,138,,,
THE UNWANTED UNDED ADVENTURER,Yu Okano & Haji Nakasone,THE UNWANTED UNDED ADVENTURER,"Action, Aventure, Fantasy ","Monstre, Harem",Shonen,12,12,"6,9",EN COURS ,"82,8",,,
TO A NEW YOU ,Mito Shinji,TO A NEW YOU ,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,6,6,"8,2",FINI,"49,2",,,
TSUGUMI PROJECT,Ippaty,TSUGUMI PROJECT,"Action, Aventure ","Post-apo, Survie",Seinen,7,7,"7,9",FINI,"55,3",,,
UQHOLDER,Ken Akamatsu,UQHOLDER,"Action, Aventure, Ecchi ","Combat, Harem, Nekkestu",Shonen,28,28,"6,95",FINI,"194,6",,,
WHY NOBODY REMEMBER MY WORLD ,Sazane Kei & Arikan,WHY NOBODY REMEMBER MY WORLD ,,,Shonen,12,10,"7,5",ABANDONNER ,75,,,
YUNA DE LA PENSION YURAGI,Tadahiro Miura,YUNA DE LA PENSION YURAGI,"Comédie, Ecchi, Romance ","Harem, Fantôme",Echi,24,24,"6,95",FINI,"166,8",,,
YUSEI NO LAST BOSS,Firehead & Haduki Tsubasa,YUSEI NO LAST BOSS,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,8,0,"7,5",VENDU,0,,,
RAI RAI RAI,Kei Yoshiaki,RAI RAI RAI,Action - Aventure - Comédie - Fantasy,"Isekkai, Gender bender, Jeux Video",Shonen,2,2,"7,5",EN COURS,15,,,
